#,slug,title_fa,title_en,mood
1,what-is-quantum,کوانتوم یعنی چه؟,What Is Quantum?,blue
2,quantum-superposition,برهم‌نهی کوانتومی,Quantum Superposition,blue
3,wave-particle-duality,دوگانگی موج و ذره,Wave–Particle Duality,blue
4,wave-function,تابع موج چیست؟,The Wave Function,blue
5,quantum-measurement,اندازه‌گیری و فروپاشی,Measurement & Collapse,blue
6,quantum-spin,اسپین؛ چرخشی که چرخش نیست,Quantum Spin,blue
7,energy-levels,ترازهای انرژی و کوانتش,Energy Levels,blue
8,decoherence,واهم‌دوسی؛ چرا دنیا عادی است!,Decoherence,blue
9,planck-constant,ثابت پلانک؛ کوچک‌ترین واحد جهان,Planck's Constant,blue
10,pauli-exclusion-principle,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,Pauli Exclusion Principle,blue
11,photon,فوتون دقیقا چیست؟,The Photon,orange
12,electron,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,The Electron,orange
13,photoelectric-effect,اثر فوتوالکتریک,Photoelectric Effect,orange
14,ultraviolet-catastrophe,فاجعهٔ فرابنفش,Ultraviolet Catastrophe,orange
15,bohr-atomic-model,مدل اتمی بور,Bohr's Atomic Model,orange
16,bell-inequality,نامساوی بل,Bell's Inequality,orange
17,double-slit-experiment,آزمایش دو شکاف,Double-Slit Experiment,orange
18,quantum-zeno-effect,اثر زنون کوانتومی,Quantum Zeno Effect,orange
19,quantum-entanglement-explained,درهم‌تنیدگی کوانتومی,Quantum Entanglement,blue
20,quantum-tunneling,تونل‌زنی کوانتومی,Quantum Tunneling,blue
21,schrodinger-cat,گربهٔ شرودینگر,Schrödinger's Cat,purple
22,vacuum-fluctuations,نوسانات خلأ,Vacuum Fluctuations,orange
23,casimir-effect,اثر کازیمیر,The Casimir Effect,orange
24,superconductivity,ابررسانایی,Superconductivity,blue
25,superfluidity,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,Superfluidity,blue
26,mri-quantum,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,MRI & Quantum Spin,blue
27,how-lasers-work,لیزر چطور کار می‌کند؟,How Lasers Work,orange
28,transistor-quantum,ترانزیستور؛ کوانتوم در جیب شما,Transistors: Quantum in Your Pocket,blue
29,atomic-clock-gps,ساعت اتمی و جی‌پی‌اس,Atomic Clocks & GPS,blue
30,qubit,کیوبیت چیست؟,The Qubit,blue
31,quantum-cryptography-internet-security,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,Quantum Cryptography,blue
32,bird-quantum-compass,قطب‌نمای پرندگان,The Bird's Quantum Compass,blue
33,quantum-smell,حس بویایی؛ شکل یا ارتعاش؟,Quantum Smell,blue
34,enzyme-quantum-tunneling,آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,Enzyme Quantum Tunneling,blue
35,quantum-photosynthesis,فتوسنتز؛ کارآمدترین ماشین جهان و رد پای کوانتوم,Quantum Photosynthesis,orange
36,copenhagen-interpretation,تفسیر کپنهاگی,Copenhagen Interpretation,purple
37,many-worlds-interpretation,تفسیر جهان‌های موازی,Many-Worlds Interpretation,purple
38,quantum-alternative-medicine-science,کوانتوم و پزشکی جایگزین: کجا علم است، کجا نیست,Quantum Alternative Medicine,purple
39,everything-is-energy-claim,«همه‌چیز انرژی است» — بررسی یک ادعا,'Everything Is Energy'?,purple
40,is-the-brain-quantum,آیا مغز کوانتومی است؟,Is the Brain Quantum?,purple
41,spot-pseudoscience-one-sentence,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,Spotting Pseudoscience,purple
42,quantum-computer-reality,کامپیوتر کوانتومی چیست و چقدر با واقعیت فاصله دارد,The Quantum Computer,blue
